id,name,slug,code,ranking,population,electoral_register,mp_name,created_at,updated_at
1873,New Forest West,new-forest-west,E14001374,1,85006,71009,,2024-11-05 09:35:54,2024-11-05 09:35:54
1874,Sheffield Hallam,sheffield-hallam,E14001468,2,92970,76637,,2024-11-05 09:35:54,2024-11-05 09:35:54
1875,Sefton Central,sefton-central,E14001463,3,90788,74746,,2024-11-05 09:35:54,2024-11-05 09:35:54
1876,Staffordshire Moorlands,staffordshire-moorlands,E14001514,4,85227,70113,,2024-11-05 09:35:54,2024-11-05 09:35:54
1877,Wirral West,wirral-west,E14001589,5,87880,72126,,2024-11-05 09:35:54,2024-11-05 09:35:54
1878,Isle of Wight East,isle-of-wight-east,E14001303,6,69625,56805,,2024-11-05 09:35:54,2024-11-05 09:35:54
1879,High Peak,high-peak,E14001287,7,90933,73960,,2024-11-05 09:35:54,2024-11-05 09:35:54
1880,New Forest East,new-forest-east,E14001373,8,90780,73823,,2024-11-05 09:35:54,2024-11-05 09:35:54
1881,North Norfolk,north-norfolk,E14001396,9,86968,70719,,2024-11-05 09:35:54,2024-11-05 09:35:54
1882,Christchurch,christchurch,E14001171,10,88068,71598,,2024-11-05 09:35:54,2024-11-05 09:35:54
1883,Kingswinford and South Staffordshire,kingswinford-and-south-staffordshire,E14001316,11,88535,71896,,2024-11-05 09:35:54,2024-11-05 09:35:54
1884,South Shropshire,south-shropshire,E14001493,12,94946,77034,,2024-11-05 09:35:54,2024-11-05 09:35:54
1885,Honiton and Sidmouth,honiton-and-sidmouth,E14001291,13,91669,74365,,2024-11-05 09:35:54,2024-11-05 09:35:54
1886,Na h-Eileanan an Iar,na-h-eileanan-an-iar,S14000027,14,26140,21177,,2024-11-05 09:35:54,2024-11-05 09:35:54
1887,"Dumfriesshire, Clydesdale and Tweeddale",dumfriesshire-clydesdale-and-tweeddale,S14000074,15,87669,70738,,2024-11-05 09:35:54,2024-11-05 09:35:54
1888,West Dorset,west-dorset,E14001575,16,93589,75390,,2024-11-05 09:35:54,2024-11-05 09:35:54
1889,North Ayrshire and Arran,north-ayrshire-and-arran,S14000048,17,91515,73588,,2024-11-05 09:35:54,2024-11-05 09:35:54
1890,Dumfries and Galloway,dumfries-and-galloway,S14000073,18,95722,76863,,2024-11-05 09:35:54,2024-11-05 09:35:54
1891,Penistone and Stocksbridge,penistone-and-stocksbridge,E14001423,19,89018,71377,,2024-11-05 09:35:54,2024-11-05 09:35:54
1892,Waveney Valley,waveney-valley,E14001569,20,88193,70540,,2024-11-05 09:35:54,2024-11-05 09:35:54
1893,Derbyshire Dales,derbyshire-dales,E14001195,21,89331,71435,,2024-11-05 09:35:54,2024-11-05 09:35:54
1894,Gower,gower,W07000097,22,96264,76801,,2024-11-05 09:35:54,2024-11-05 09:35:54
1895,"Ayr, Carrick and Cumnock",ayr-carrick-and-cumnock,S14000006,23,90327,72057,,2024-11-05 09:35:54,2024-11-05 09:35:54
1896,Mid Derbyshire,mid-derbyshire,E14001362,24,87995,70085,,2024-11-05 09:35:54,2024-11-05 09:35:54
1897,Central Ayrshire,central-ayrshire,S14000010,25,87670,69779,,2024-11-05 09:35:54,2024-11-05 09:35:54
1898,Westmorland and Lonsdale,westmorland-and-lonsdale,E14001580,26,90922,72322,,2024-11-05 09:35:54,2024-11-05 09:35:54
1899,Bexhill and Battle,bexhill-and-battle,E14001088,27,89109,70869,,2024-11-05 09:35:54,2024-11-05 09:35:54
1900,Clwyd East,clwyd-east,W07000094,28,96116,76395,,2024-11-05 09:35:54,2024-11-05 09:35:54
1901,Beverley and Holderness,beverley-and-holderness,E14001087,29,89503,71102,,2024-11-05 09:35:54,2024-11-05 09:35:54
1902,Stroud,stroud,E14001529,30,96022,76249,,2024-11-05 09:35:54,2024-11-05 09:35:54
1903,Macclesfield,macclesfield,E14001347,31,95571,75881,,2024-11-05 09:35:54,2024-11-05 09:35:54
1904,Blackpool North and Fleetwood,blackpool-north-and-fleetwood,E14001104,32,95006,75396,,2024-11-05 09:35:54,2024-11-05 09:35:54
1905,Arundel and South Downs,arundel-and-south-downs,E14001067,33,97175,76974,,2024-11-05 09:35:54,2024-11-05 09:35:54
1906,St Ives,st-ives,E14001511,34,88509,70107,,2024-11-05 09:35:54,2024-11-05 09:35:54
1907,Rayleigh and Wickford,rayleigh-and-wickford,E14001437,35,96504,76422,,2024-11-05 09:35:54,2024-11-05 09:35:54
1908,Thirsk and Malton,thirsk-and-malton,E14001544,36,96789,76623,,2024-11-05 09:35:54,2024-11-05 09:35:54
1909,South Devon,south-devon,E14001484,37,90690,71691,,2024-11-05 09:35:54,2024-11-05 09:35:54
1910,Angus and Perthshire Glens,angus-and-perthshire-glens,S14000065,38,97424,77006,,2024-11-05 09:35:54,2024-11-05 09:35:54
1911,Hexham,hexham,E14001285,39,92072,72738,,2024-11-05 09:35:54,2024-11-05 09:35:54
1912,North Northumberland,north-northumberland,E14001397,40,91865,72541,,2024-11-05 09:35:54,2024-11-05 09:35:54
1913,Lewes,lewes,E14001330,41,95096,75091,,2024-11-05 09:35:54,2024-11-05 09:35:54
1914,Ceredigion Preseli,ceredigion-preseli,W07000093,42,93821,74063,,2024-11-05 09:35:54,2024-11-05 09:35:54
1915,Penrith and Solway,penrith-and-solway,E14001424,43,97240,76720,,2024-11-05 09:35:54,2024-11-05 09:35:54
1916,Central Devon,central-devon,E14001155,44,93162,73491,,2024-11-05 09:35:54,2024-11-05 09:35:54
1917,Whitehaven and Workington,whitehaven-and-workington,E14001583,45,93036,73385,,2024-11-05 09:35:54,2024-11-05 09:35:54
1918,South East Cornwall,south-east-cornwall,E14001486,46,90955,71734,,2024-11-05 09:35:54,2024-11-05 09:35:54
1919,Wells and Mendip Hills,wells-and-mendip-hills,E14001572,47,88605,69843,,2024-11-05 09:35:54,2024-11-05 09:35:54
1920,Brigg and Immingham,brigg-and-immingham,E14001128,48,90946,71628,,2024-11-05 09:35:54,2024-11-05 09:35:54
1921,Mid Dunbartonshire,mid-dunbartonshire,S14000097,49,95376,75099,,2024-11-05 09:35:54,2024-11-05 09:35:54
1922,"Argyll, Bute and South Lochaber",argyll-bute-and-south-lochaber,S14000067,50,91146,71707,,2024-11-05 09:35:54,2024-11-05 09:35:54
1923,Manchester Withington,manchester-withington,E14001354,51,91030,71614,,2024-11-05 09:35:54,2024-11-05 09:35:54
1924,Skipton and Ripon,skipton-and-ripon,E14001475,52,97576,76758,,2024-11-05 09:35:54,2024-11-05 09:35:54
1925,Barrow and Furness,barrow-and-furness,E14001076,53,97425,76603,,2024-11-05 09:35:54,2024-11-05 09:35:54
1926,Louth and Horncastle,louth-and-horncastle,E14001343,54,96609,75959,,2024-11-05 09:35:54,2024-11-05 09:35:54
1927,Gainsborough,gainsborough,E14001243,55,95153,74750,,2024-11-05 09:35:54,2024-11-05 09:35:54
1928,South Shields,south-shields,E14001492,56,88773,69725,,2024-11-05 09:35:54,2024-11-05 09:35:54
1929,North Somerset,north-somerset,E14001399,57,94220,73963,,2024-11-05 09:35:54,2024-11-05 09:35:54
1930,East Kilbride and Strathaven,east-kilbride-and-strathaven,S14000077,58,95878,75161,,2024-11-05 09:35:54,2024-11-05 09:35:54
1931,Torridge and Tavistock,torridge-and-tavistock,E14001552,59,95449,74802,,2024-11-05 09:35:54,2024-11-05 09:35:54
1932,"Brecon, Radnor and Cwm Tawe",brecon-radnor-and-cwm-tawe,W07000085,60,92054,72113,,2024-11-05 09:35:54,2024-11-05 09:35:54
1933,"Caithness, Sutherland and Easter Ross",caithness-sutherland-and-easter-ross,S14000069,61,95969,75173,,2024-11-05 09:35:54,2024-11-05 09:35:54
1934,Sheffield Central,sheffield-central,E14001467,62,89946,70453,,2024-11-05 09:35:54,2024-11-05 09:35:54
1935,Bridlington and The Wolds,bridlington-and-the-wolds,E14001127,63,92600,72501,,2024-11-05 09:35:54,2024-11-05 09:35:54
1936,North Herefordshire,north-herefordshire,E14001395,64,90552,70894,,2024-11-05 09:35:54,2024-11-05 09:35:54
1937,North East Derbyshire,north-east-derbyshire,E14001391,65,92436,72344,,2024-11-05 09:35:54,2024-11-05 09:35:54
1938,Lowestoft,lowestoft,E14001344,66,94546,73967,,2024-11-05 09:35:54,2024-11-05 09:35:54
1939,Inverclyde and Renfrewshire West,inverclyde-and-renfrewshire-west,S14000093,67,90043,70418,,2024-11-05 09:35:54,2024-11-05 09:35:54
1940,Amber Valley,amber-valley,E14001066,68,90322,70625,,2024-11-05 09:35:54,2024-11-05 09:35:54
1941,Monmouthshire,monmouthshire,W07000101,69,92955,72681,,2024-11-05 09:35:54,2024-11-05 09:35:54
1942,Richmond and Northallerton,richmond-and-northallerton,E14001444,70,93047,72744,,2024-11-05 09:35:54,2024-11-05 09:35:54
1943,Newton Abbot,newton-abbot,E14001381,71,93355,72956,,2024-11-05 09:35:54,2024-11-05 09:35:54
1944,Kilmarnock and Loudoun,kilmarnock-and-loudoun,S14000040,72,95744,74801,,2024-11-05 09:35:54,2024-11-05 09:35:54
1945,Broadland and Fakenham,broadland-and-fakenham,E14001136,73,93322,72907,,2024-11-05 09:35:54,2024-11-05 09:35:54
1946,Aldridge-Brownhills,aldridge-brownhills,E14001064,74,93607,73122,,2024-11-05 09:35:54,2024-11-05 09:35:54
1947,Forest of Dean,forest-of-dean,E14001240,75,91559,71510,,2024-11-05 09:35:54,2024-11-05 09:35:54
1948,Mid Dorset and North Poole,mid-dorset-and-north-poole,E14001363,76,95151,74305,,2024-11-05 09:35:54,2024-11-05 09:35:54
1949,Wetherby and Easingwold,wetherby-and-easingwold,E14001582,77,91530,71455,,2024-11-05 09:35:54,2024-11-05 09:35:54
1950,West Worcestershire,west-worcestershire,E14001579,78,98221,76638,,2024-11-05 09:35:54,2024-11-05 09:35:54
1951,Fylde,fylde,E14001242,79,96276,75114,,2024-11-05 09:35:54,2024-11-05 09:35:54
1952,Glasgow South,glasgow-south,S14000087,80,91448,71344,,2024-11-05 09:35:54,2024-11-05 09:35:54
1953,Fareham and Waterlooville,fareham-and-waterlooville,E14001233,81,98809,77036,,2024-11-05 09:35:54,2024-11-05 09:35:54
1954,Suffolk Coastal,suffolk-coastal,E14001530,82,93241,72663,,2024-11-05 09:35:54,2024-11-05 09:35:54
1955,Lichfield,lichfield,E14001335,83,96199,74942,,2024-11-05 09:35:54,2024-11-05 09:35:54
1956,Edinburgh West,edinburgh-west,S14000082,84,98521,76723,,2024-11-05 09:35:54,2024-11-05 09:35:54
1957,South Dorset,south-dorset,E14001485,85,98455,76640,,2024-11-05 09:35:54,2024-11-05 09:35:54
1958,York Outer,york-outer,E14001605,86,93553,72720,,2024-11-05 09:35:54,2024-11-05 09:35:54
1959,South West Devon,south-west-devon,E14001495,87,96980,75371,,2024-11-05 09:35:54,2024-11-05 09:35:54
1960,Congleton,congleton,E14001178,88,89873,69836,,2024-11-05 09:35:54,2024-11-05 09:35:54
1961,Falkirk,falkirk,S14000083,89,96703,75067,,2024-11-05 09:35:54,2024-11-05 09:35:54
1962,Tiverton and Minehead,tiverton-and-minehead,E14001548,90,91260,70829,,2024-11-05 09:35:54,2024-11-05 09:35:54
1963,North Devon,north-devon,E14001387,91,98611,76455,,2024-11-05 09:35:54,2024-11-05 09:35:54
1964,Isle of Wight West,isle-of-wight-west,E14001304,92,70833,54911,,2024-11-05 09:35:54,2024-11-05 09:35:54
1965,Orkney and Shetland,orkney-and-shetland,S14000051,93,44944,34824,,2024-11-05 09:35:54,2024-11-05 09:35:54
1966,Castle Point,castle-point,E14001154,94,91551,70923,,2024-11-05 09:35:54,2024-11-05 09:35:54
1967,Caerfyrddin,caerfyrddin,W07000087,95,93849,72683,,2024-11-05 09:35:54,2024-11-05 09:35:54
1968,Lancaster and Wyre,lancaster-and-wyre,E14001318,96,96832,74992,,2024-11-05 09:35:54,2024-11-05 09:35:54
1969,North Dorset,north-dorset,E14001388,97,93155,72109,,2024-11-05 09:35:54,2024-11-05 09:35:54
1970,Clacton,clacton,E14001174,98,98193,75959,,2024-11-05 09:35:54,2024-11-05 09:35:54
1971,Morecambe and Lunesdale,morecambe-and-lunesdale,E14001372,99,98306,76040,,2024-11-05 09:35:54,2024-11-05 09:35:54
1972,"Berwickshire, Roxburgh and Selkirk",berwickshire-roxburgh-and-selkirk,S14000008,100,96588,74687,,2024-11-05 09:35:54,2024-11-05 09:35:54
1973,Truro and Falmouth,truro-and-falmouth,E14001554,101,94888,73326,,2024-11-05 09:35:54,2024-11-05 09:35:54
1974,"Moray West, Nairn and Strathspey",moray-west-nairn-and-strathspey,S14000098,102,98659,76237,,2024-11-05 09:35:54,2024-11-05 09:35:54
1975,Cheadle,cheadle,E14001158,103,95479,73775,,2024-11-05 09:35:54,2024-11-05 09:35:54
1976,Leeds North West,leeds-north-west,E14001322,104,92720,71607,,2024-11-05 09:35:54,2024-11-05 09:35:54
1977,Hazel Grove,hazel-grove,E14001277,105,94450,72941,,2024-11-05 09:35:54,2024-11-05 09:35:54
1978,Tatton,tatton,E14001539,106,97867,75538,,2024-11-05 09:35:54,2024-11-05 09:35:54
1979,Sutton Coldfield,sutton-coldfield,E14001535,107,96686,74584,,2024-11-05 09:35:54,2024-11-05 09:35:54
1980,Hartlepool,hartlepool,E14001272,108,92337,71228,,2024-11-05 09:35:54,2024-11-05 09:35:54
1981,Arbroath and Broughty Ferry,arbroath-and-broughty-ferry,S14000066,109,99589,76810,,2024-11-05 09:35:54,2024-11-05 09:35:54
1982,Sussex Weald,sussex-weald,E14001533,110,90870,70075,,2024-11-05 09:35:54,2024-11-05 09:35:54
1983,South Cotswolds,south-cotswolds,E14001482,111,94529,72865,,2024-11-05 09:35:54,2024-11-05 09:35:54
1984,Melksham and Devizes,melksham-and-devizes,E14001356,112,93193,71823,,2024-11-05 09:35:54,2024-11-05 09:35:54
1985,East Hampshire,east-hampshire,E14001214,113,90856,69959,,2024-11-05 09:35:54,2024-11-05 09:35:54
1986,South Suffolk,south-suffolk,E14001494,114,92341,71070,,2024-11-05 09:35:54,2024-11-05 09:35:54
1987,North Durham,north-durham,E14001389,115,94966,73079,,2024-11-05 09:35:54,2024-11-05 09:35:54
1988,Colne Valley,colne-valley,E14001177,116,93050,71518,,2024-11-05 09:35:54,2024-11-05 09:35:54
1989,West Dunbartonshire,west-dunbartonshire,S14000106,117,91456,70286,,2024-11-05 09:35:54,2024-11-05 09:35:54
1990,Cumbernauld and Kirkintilloch,cumbernauld-and-kirkintilloch,S14000072,118,91860,70579,,2024-11-05 09:35:54,2024-11-05 09:35:54
1991,North Cotswolds,north-cotswolds,E14001386,119,92322,70915,,2024-11-05 09:35:54,2024-11-05 09:35:54
1992,Maldon,maldon,E14001351,120,99976,76794,,2024-11-05 09:35:54,2024-11-05 09:35:54
1993,Bishop Auckland,bishop-auckland,E14001101,121,92284,70879,,2024-11-05 09:35:54,2024-11-05 09:35:54
1994,Ossett and Denby Dale,ossett-and-denby-dale,E14001418,122,93221,71595,,2024-11-05 09:35:54,2024-11-05 09:35:54
1995,Hinckley and Bosworth,hinckley-and-bosworth,E14001288,123,98544,75683,,2024-11-05 09:35:54,2024-11-05 09:35:54
1996,Herne Bay and Sandwich,herne-bay-and-sandwich,E14001282,124,99009,76028,,2024-11-05 09:35:54,2024-11-05 09:35:54
1997,Chester North and Neston,chester-north-and-neston,E14001163,125,94205,72327,,2024-11-05 09:35:54,2024-11-05 09:35:54
1998,Dwyfor Meirionnydd,dwyfor-meirionnydd,W07000096,126,94479,72533,,2024-11-05 09:35:54,2024-11-05 09:35:54
1999,Stockton West,stockton-west,E14001519,127,91342,70108,,2024-11-05 09:35:54,2024-11-05 09:35:54
2000,Calder Valley,calder-valley,E14001147,128,99047,75987,,2024-11-05 09:35:54,2024-11-05 09:35:54
2001,Widnes and Halewood,widnes-and-halewood,E14001584,129,92384,70865,,2024-11-05 09:35:54,2024-11-05 09:35:54
2002,Chester South and Eddisbury,chester-south-and-eddisbury,E14001164,130,93834,71975,,2024-11-05 09:35:54,2024-11-05 09:35:54
2003,Ribble Valley,ribble-valley,E14001443,131,99095,75993,,2024-11-05 09:35:54,2024-11-05 09:35:54
2004,Tynemouth,tynemouth,E14001557,132,95254,73022,,2024-11-05 09:35:54,2024-11-05 09:35:54
2005,Blaydon and Consett,blaydon-and-consett,E14001106,133,91527,70163,,2024-11-05 09:35:54,2024-11-05 09:35:54
2006,Broxtowe,broxtowe,E14001140,134,94546,72461,,2024-11-05 09:35:54,2024-11-05 09:35:54
2007,Gosport,gosport,E14001252,135,96270,73763,,2024-11-05 09:35:54,2024-11-05 09:35:54
2008,Hamilton and Clyde Valley,hamilton-and-clyde-valley,S14000092,136,97362,74577,,2024-11-05 09:35:54,2024-11-05 09:35:54
2009,Havant,havant,E14001275,137,95005,72766,,2024-11-05 09:35:54,2024-11-05 09:35:54
2010,Alloa and Grangemouth,alloa-and-grangemouth,S14000064,138,94405,72265,,2024-11-05 09:35:54,2024-11-05 09:35:54
2011,Houghton and Sunderland South,houghton-and-sunderland-south,E14001295,139,100441,76883,,2024-11-05 09:35:54,2024-11-05 09:35:54
2012,North East Somerset and Hanham,north-east-somerset-and-hanham,E14001394,140,95543,73113,,2024-11-05 09:35:54,2024-11-05 09:35:54
2013,Rother Valley,rother-valley,E14001451,141,91724,70184,,2024-11-05 09:35:54,2024-11-05 09:35:54
2014,Torfaen,torfaen,W07000109,142,92276,70591,,2024-11-05 09:35:54,2024-11-05 09:35:54
2015,Worthing West,worthing-west,E14001599,143,99731,76293,,2024-11-05 09:35:54,2024-11-05 09:35:54
2016,Redcar,redcar,E14001440,144,93285,71331,,2024-11-05 09:35:54,2024-11-05 09:35:54
2017,Rutherglen,rutherglen,S14000104,145,93731,71612,,2024-11-05 09:35:54,2024-11-05 09:35:54
2018,Bangor Aberconwy,bangor-aberconwy,W07000083,146,92264,70468,,2024-11-05 09:35:54,2024-11-05 09:35:54
2019,Brentwood and Ongar,brentwood-and-ongar,E14001125,147,98118,74937,,2024-11-05 09:35:54,2024-11-05 09:35:54
2020,Solihull West and Shirley,solihull-west-and-shirley,E14001479,148,92363,70537,,2024-11-05 09:35:54,2024-11-05 09:35:54
2021,Coatbridge and Bellshill,coatbridge-and-bellshill,S14000070,149,94957,72507,,2024-11-05 09:35:54,2024-11-05 09:35:54
2022,North East Fife,north-east-fife,S14000100,150,92291,70452,,2024-11-05 09:35:54,2024-11-05 09:35:54
2023,Thornbury and Yate,thornbury-and-yate,E14001545,151,98164,74935,,2024-11-05 09:35:54,2024-11-05 09:35:54
2024,North Shropshire,north-shropshire,E14001398,152,100943,77052,,2024-11-05 09:35:54,2024-11-05 09:35:54
2025,Harwich and North Essex,harwich-and-north-essex,E14001273,153,98104,74838,,2024-11-05 09:35:54,2024-11-05 09:35:54
2026,Kenilworth and Southam,kenilworth-and-southam,E14001309,154,93668,71451,,2024-11-05 09:35:54,2024-11-05 09:35:54
2027,Folkestone and Hythe,folkestone-and-hythe,E14001239,155,91833,70023,,2024-11-05 09:35:54,2024-11-05 09:35:54
2028,Runcorn and Helsby,runcorn-and-helsby,E14001455,156,93135,70950,,2024-11-05 09:35:54,2024-11-05 09:35:54
2029,Southport,southport,E14001504,157,97373,74168,,2024-11-05 09:35:54,2024-11-05 09:35:54
2030,Clwyd North,clwyd-north,W07000095,158,99977,76150,,2024-11-05 09:35:54,2024-11-05 09:35:54
2031,Sleaford and North Hykeham,sleaford-and-north-hykeham,E14001476,159,96345,73380,,2024-11-05 09:35:54,2024-11-05 09:35:54
2032,Frome and East Somerset,frome-and-east-somerset,E14001241,160,92145,70177,,2024-11-05 09:35:54,2024-11-05 09:35:54
2033,"Stone, Great Wyrley and Penkridge",stone-great-wyrley-and-penkridge,E14001523,161,92835,70701,,2024-11-05 09:35:54,2024-11-05 09:35:54
2034,Glastonbury and Somerton,glastonbury-and-somerton,E14001247,162,91962,70015,,2024-11-05 09:35:54,2024-11-05 09:35:54
2035,Stratford-on-Avon,stratford-on-avon,E14001526,163,95082,72388,,2024-11-05 09:35:54,2024-11-05 09:35:54
2036,Ynys Môn,ynys-mon,W07000112,164,68877,52415,,2024-11-05 09:35:54,2024-11-05 09:35:54
2037,Knowsley,knowsley,E14001317,165,93601,71228,,2024-11-05 09:35:54,2024-11-05 09:35:54
2038,Shipley,shipley,E14001472,166,97422,74095,,2024-11-05 09:35:54,2024-11-05 09:35:54
2039,South Ribble,south-ribble,E14001491,167,94711,72029,,2024-11-05 09:35:54,2024-11-05 09:35:54
2040,Mid and South Pembrokeshire,mid-and-south-pembrokeshire,W07000100,168,101014,76820,,2024-11-05 09:35:54,2024-11-05 09:35:54
2041,Scarborough and Whitby,scarborough-and-whitby,E14001461,169,97185,73862,,2024-11-05 09:35:54,2024-11-05 09:35:54
2042,Rushcliffe,rushcliffe,E14001457,170,100243,76171,,2024-11-05 09:35:54,2024-11-05 09:35:54
2043,St Helens North,st-helens-north,E14001509,171,100169,76082,,2024-11-05 09:35:54,2024-11-05 09:35:54
2044,Gordon and Buchan,gordon-and-buchan,S14000091,172,92504,70238,,2024-11-05 09:35:54,2024-11-05 09:35:54
2045,Salisbury,salisbury,E14001460,173,92511,70242,,2024-11-05 09:35:54,2024-11-05 09:35:54
2046,Bromsgrove,bromsgrove,E14001138,174,99183,75305,,2024-11-05 09:35:54,2024-11-05 09:35:54
2047,Cramlington and Killingworth,cramlington-and-killingworth,E14001183,175,96555,73295,,2024-11-05 09:35:54,2024-11-05 09:35:54
2048,Washington and Gateshead South,washington-and-gateshead-south,E14001567,176,94561,71775,,2024-11-05 09:35:54,2024-11-05 09:35:54
2049,Montgomeryshire and Glyndŵr,montgomeryshire-and-glyndwr,W07000102,177,97787,74223,,2024-11-05 09:35:54,2024-11-05 09:35:54
2050,Melton and Syston,melton-and-syston,E14001357,178,94356,71615,,2024-11-05 09:35:54,2024-11-05 09:35:54
2051,North West Leicestershire,north-west-leicestershire,E14001404,179,99353,75373,,2024-11-05 09:35:54,2024-11-05 09:35:54
2052,Spen Valley,spen-valley,E14001506,180,95132,72169,,2024-11-05 09:35:54,2024-11-05 09:35:54
2053,Chesterfield,chesterfield,E14001165,181,93241,70722,,2024-11-05 09:35:54,2024-11-05 09:35:54
2054,Bathgate and Linlithgow,bathgate-and-linlithgow,S14000068,182,94469,71650,,2024-11-05 09:35:54,2024-11-05 09:35:54
2055,Tonbridge,tonbridge,E14001549,183,97215,73692,,2024-11-05 09:35:54,2024-11-05 09:35:54
2056,Wyre Forest,wyre-forest,E14001601,184,101607,77015,,2024-11-05 09:35:54,2024-11-05 09:35:54
2057,Cardiff North,cardiff-north,W07000090,185,93891,71143,,2024-11-05 09:35:54,2024-11-05 09:35:54
2058,Jarrow and Gateshead East,jarrow-and-gateshead-east,E14001307,186,93845,71106,,2024-11-05 09:35:54,2024-11-05 09:35:54
2059,Wallasey,wallasey,E14001561,187,96433,73054,,2024-11-05 09:35:54,2024-11-05 09:35:54
2060,East Worthing and Shoreham,east-worthing-and-shoreham,E14001218,188,99625,75466,,2024-11-05 09:35:54,2024-11-05 09:35:54
2061,Middlesbrough South and East Cleveland,middlesbrough-south-and-east-cleveland,E14001368,189,92410,69967,,2024-11-05 09:35:54,2024-11-05 09:35:54
2062,Airdrie and Shotts,airdrie-and-shotts,S14000063,190,93041,70420,,2024-11-05 09:35:54,2024-11-05 09:35:54
2063,East Grinstead and Uckfield,east-grinstead-and-uckfield,E14001212,191,95607,72356,,2024-11-05 09:35:54,2024-11-05 09:35:54
2064,North Cornwall,north-cornwall,E14001385,192,99156,75034,,2024-11-05 09:35:54,2024-11-05 09:35:54
2065,Hyndburn,hyndburn,E14001299,193,94025,71145,,2024-11-05 09:35:54,2024-11-05 09:35:54
2066,Erewash,erewash,E14001228,194,95173,71986,,2024-11-05 09:35:54,2024-11-05 09:35:54
2067,West Aberdeenshire and Kincardine,west-aberdeenshire-and-kincardine,S14000058,195,97475,73634,,2024-11-05 09:35:54,2024-11-05 09:35:54
2068,Weald of Kent,weald-of-kent,E14001570,196,92841,70110,,2024-11-05 09:35:54,2024-11-05 09:35:54
2069,Stirling and Strathallan,stirling-and-strathallan,S14000105,197,102001,77008,,2024-11-05 09:35:54,2024-11-05 09:35:54
2070,South Norfolk,south-norfolk,E14001489,198,92548,69837,,2024-11-05 09:35:54,2024-11-05 09:35:54
2071,Newton Aycliffe and Spennymoor,newton-aycliffe-and-spennymoor,E14001382,199,94517,71299,,2024-11-05 09:35:54,2024-11-05 09:35:54
2072,Central Suffolk and North Ipswich,central-suffolk-and-north-ipswich,E14001156,200,94164,71020,,2024-11-05 09:35:54,2024-11-05 09:35:54
2073,Aberafan Maesteg,aberafan-maesteg,W07000081,201,92575,69817,,2024-11-05 09:35:54,2024-11-05 09:35:54
2074,Warrington South,warrington-south,E14001565,202,101668,76639,,2024-11-05 09:35:54,2024-11-05 09:35:54
2075,Newcastle-under-Lyme,newcastle-under-lyme,E14001380,203,92899,70025,,2024-11-05 09:35:54,2024-11-05 09:35:54
2076,South Northamptonshire,south-northamptonshire,E14001490,204,101563,76555,,2024-11-05 09:35:54,2024-11-05 09:35:54
2077,East Renfrewshire,east-renfrewshire,S14000021,205,96817,72959,,2024-11-05 09:35:54,2024-11-05 09:35:54
2078,Blaenau Gwent and Rhymney,blaenau-gwent-and-rhymney,W07000084,206,94400,71079,,2024-11-05 09:35:54,2024-11-05 09:35:54
2079,Harpenden and Berkhamsted,harpenden-and-berkhamsted,E14001268,207,95141,71635,,2024-11-05 09:35:54,2024-11-05 09:35:54
2080,Glenrothes and Mid Fife,glenrothes-and-mid-fife,S14000090,208,92662,69734,,2024-11-05 09:35:54,2024-11-05 09:35:54
2081,South Derbyshire,south-derbyshire,E14001483,209,94650,71202,,2024-11-05 09:35:54,2024-11-05 09:35:54
2082,Rutland and Stamford,rutland-and-stamford,E14001458,210,94238,70864,,2024-11-05 09:35:54,2024-11-05 09:35:54
2083,Cannock Chase,cannock-chase,E14001150,211,100519,75582,,2024-11-05 09:35:54,2024-11-05 09:35:54
2084,Caerphilly,caerphilly,W07000088,212,96370,72458,,2024-11-05 09:35:54,2024-11-05 09:35:54
2085,Stourbridge,stourbridge,E14001524,213,92889,69840,,2024-11-05 09:35:54,2024-11-05 09:35:54
2086,Easington,easington,E14001211,214,93176,70043,,2024-11-05 09:35:54,2024-11-05 09:35:54
2087,Cheltenham,cheltenham,E14001161,215,100196,75292,,2024-11-05 09:35:54,2024-11-05 09:35:54
2088,Hamble Valley,hamble-valley,E14001263,216,102368,76902,,2024-11-05 09:35:54,2024-11-05 09:35:54
2089,Merthyr Tydfil and Aberdare,merthyr-tydfil-and-aberdare,W07000099,217,99652,74805,,2024-11-05 09:35:54,2024-11-05 09:35:54
2090,Neath and Swansea East,neath-and-swansea-east,W07000103,218,99529,74705,,2024-11-05 09:35:54,2024-11-05 09:35:54
2091,Shrewsbury,shrewsbury,E14001473,219,100113,75139,,2024-11-05 09:35:54,2024-11-05 09:35:54
2092,Paisley and Renfrewshire North,paisley-and-renfrewshire-north,S14000101,220,93190,69941,,2024-11-05 09:35:54,2024-11-05 09:35:54
2093,Newport West and Islwyn,newport-west-and-islwyn,W07000105,221,101589,76234,,2024-11-05 09:35:54,2024-11-05 09:35:54
2094,Perth and Kinross-shire,perth-and-kinross-shire,S14000103,222,101706,76320,,2024-11-05 09:35:54,2024-11-05 09:35:54
2095,Stalybridge and Hyde,stalybridge-and-hyde,E14001515,223,97355,73028,,2024-11-05 09:35:54,2024-11-05 09:35:54
2096,North Warwickshire and Bedworth,north-warwickshire-and-bedworth,E14001400,224,93667,70245,,2024-11-05 09:35:54,2024-11-05 09:35:54
2097,Bristol Central,bristol-central,E14001131,225,93645,70227,,2024-11-05 09:35:54,2024-11-05 09:35:54
