PARL25,LAD23,overlap_area,original_area,percentage_overlap_area,percentage_overlap_pop,overlap_pop,original_pop,__index_level_0__
UKPARL.2025.TIV,E06000066,901400333.7,1285938055,0.7,0.54,49498.78,91251.78,419
UKPARL.2025.TIV,E07000042,378005999.8,1285938055,0.29,0.46,41753,91251.78,177
UKPARL.2025.TMW,E07000194,160847055.6,191697816.8,0.84,0.21,20793.48,97489.48,491
UKPARL.2025.TMW,E07000199,30850723.43,191697816.8,0.16,0.79,76696,97489.48,94
UKPARL.2025.TNW,E07000116,248069198.7,248069434.9,1,1,108565,108565,780
UKPARL.2025.TON,E07000111,127368326.7,302937219.2,0.42,0.29,28830,98093.27,258
UKPARL.2025.TON,E07000115,175568808.9,302937219.2,0.58,0.71,69263.27,98093.27,360
UKPARL.2025.TOO,E09000032,11229054.38,11236372.89,1,1,109540,109540,703
UKPARL.2025.TOR,W06000020,126239860.9,126239928.9,1,1,93961,93961,813
UKPARL.2025.TOT,E09000012,1362704.59,11930186.04,0.11,0.15,20836.08,138358.47,68
UKPARL.2025.TOT,E09000014,10566755.09,11930186.04,0.89,0.85,117522.38,138358.47,510
UKPARL.2025.TRB,E06000027,36254186.67,39139878.99,0.93,1,101592.75,101592.75,536
UKPARL.2025.TRF,E06000052,433044190.5,443647729.1,0.98,1,92745.51,92745.51,591
UKPARL.2025.TWI,E09000027,27455910.02,27621602.06,0.99,1,107700.57,107700.57,662
UKPARL.2025.TYN,E08000022,32968010.78,33706013.26,0.98,1,96328.13,96328.13,596
UKPARL.2025.UBN,N09000002,346791152.7,346905179.4,1,1,119947.2,119947.2,713
UKPARL.2025.UXB,E09000017,40375846.98,40375855.25,1,1,117186.05,117186.05,884
UKPARL.2025.VCG,E09000022,5540800.3,7267500.77,0.76,0.73,77533,106839.79,445
UKPARL.2025.VCG,E09000028,1708197.94,7267500.77,0.24,0.27,29306.79,106839.79,148
UKPARL.2025.VOG,W06000014,295543088.8,298824748.4,0.99,1,95517,95517,632
UKPARL.2025.WAB,E08000030,32050757.16,32050765.43,1,1,119744.54,119744.54,868
UKPARL.2025.WAE,E06000065,785884899.4,941843657.3,0.83,0.57,51353.65,90556.29,488
UKPARL.2025.WAE,E08000035,155765156.1,941843657.3,0.17,0.43,39202.64,90556.29,97
UKPARL.2025.WAH,E06000006,33634536.81,64551404.24,0.52,0.69,65072,93899.42,313
UKPARL.2025.WAH,E08000011,29344228.94,64551404.24,0.45,0.31,28827.42,93899.42,281
UKPARL.2025.WAK,S12000034,3267088523,3270354773,1,1,96807.29,96807.29,699
UKPARL.2025.WAL,E06000064,2410723092,2418048092,1,1,91447.25,91447.25,678
UKPARL.2025.WAN,E06000007,91261887.06,91284054.52,1,1,96715.8,96715.8,718
UKPARL.2025.WAS,E06000007,72510064.41,74053543.44,0.98,1,100589.2,100589.2,600
UKPARL.2025.WAT,E07000098,2977398.02,24407732.68,0.12,0.07,7530.51,104107.51,71
UKPARL.2025.WAT,E07000103,21430327.03,24407732.68,0.88,0.93,96577,104107.51,506
UKPARL.2025.WAV,E07000149,305335216,988920156.5,0.31,0.41,36841.67,89600.97,188
UKPARL.2025.WAV,E07000203,488559436.9,988920156.5,0.49,0.4,35689.15,89600.97,305
UKPARL.2025.WAV,E07000244,194843299.3,988920156.5,0.2,0.19,17070.15,89600.97,117
UKPARL.2025.WAW,E06000063,533629975.5,539769737.1,0.99,1,94436.29,94436.29,630
UKPARL.2025.WBR,E06000061,91594918.45,91594929.48,1,1,111378.15,111378.15,911
UKPARL.2025.WBW,E08000028,35367519.95,35367540.39,1,1,107546.5,107546.5,809
UKPARL.2025.WDB,S12000039,172821142.3,174661545.3,0.99,0.97,88930,91884.9,635
UKPARL.2025.WDS,E06000059,1006595936,1010760728,1,1,92839.31,92839.31,671
UKPARL.2025.WEL,E06000024,116583923.1,671888865.4,0.17,0.28,25087.56,88815.05,102
UKPARL.2025.WEL,E06000066,554990512.4,671888865.4,0.83,0.72,63727.49,88815.05,483
UKPARL.2025.WGN,E08000010,60509003.85,60509028.36,1,1,105871.3,105871.3,839
UKPARL.2025.WGS,E08000024,39476926.45,69718726.33,0.57,0.8,76743.57,95380.7,353
UKPARL.2025.WGS,E08000037,29941036.39,69718726.33,0.43,0.2,18637.13,95380.7,261
UKPARL.2025.WHB,E09000025,18765458.25,19378963.98,0.97,1,135209,135209,580
UKPARL.2025.WHT,E07000241,107934295,107934371.9,1,1,117347.67,117347.67,794
UKPARL.2025.WHW,E09000031,16173143.33,16180945.13,1,1,119321,119321,706
UKPARL.2025.WIM,E09000021,3969556.37,22912199.58,0.17,0.17,19160,109531.32,101
UKPARL.2025.WIM,E09000024,18942472.59,22912199.58,0.83,0.83,90371.32,109531.32,484
UKPARL.2025.WIN,E07000094,572819902.8,572871690.1,1,1,103000.43,103000.43,726
UKPARL.2025.WIR,E08000015,84476698.46,87487567.06,0.97,1,88886.62,88886.62,578
UKPARL.2025.WIT,E07000180,216030661,557740652.3,0.39,0.26,24465.66,95240.66,234
UKPARL.2025.WIT,E07000181,341709969.4,557740652.3,0.61,0.74,70775,95240.66,377
UKPARL.2025.WKF,E08000035,20089902.64,60665484.77,0.33,0.2,20430.88,103917.81,207
UKPARL.2025.WKF,E08000036,40575582.13,60665484.77,0.67,0.8,83486.93,103917.81,400
UKPARL.2025.WKL,E07000222,89395052.05,89395089.79,1,1,101289.4,101289.4,836
UKPARL.2025.WKM,E06000041,138340263.2,138344019,1,1,93620,93620,735
UKPARL.2025.WKT,E07000105,479823949.7,763089982.8,0.63,0.48,43876.69,91619.68,382
UKPARL.2025.WKT,E07000110,200006531.7,763089982.8,0.26,0.41,37583.98,91619.68,163
UKPARL.2025.WKT,E07000116,83259442.32,763089982.8,0.11,0.11,10159,91619.68,67
UKPARL.2025.WLA,E07000127,262351184.9,262355902.6,1,1,98045,98045,739
UKPARL.2025.WLL,E08000015,25474347.69,25637609.95,0.99,1,98056.39,98056.39,659
UKPARL.2025.WND,E06000039,7916165.22,110960231.6,0.07,0.19,21831.83,112627.55,41
UKPARL.2025.WND,E06000040,78467297.66,110960231.6,0.71,0.63,71025,112627.55,423
UKPARL.2025.WND,E07000212,24576746.45,110960231.6,0.22,0.18,19770.72,112627.55,138
UKPARL.2025.WNE,E08000030,6079339.49,27049945.53,0.22,0.23,23873.79,101701.95,141
UKPARL.2025.WNE,E08000031,20970580.12,27049945.53,0.78,0.77,77828.16,101701.95,453
UKPARL.2025.WOK,E07000217,63603581.06,63603603.92,1,1,100793,100793,847
UKPARL.2025.WOR,E07000237,33278088.09,33278124.99,1,1,101222,101222,775
UKPARL.2025.WRE,W06000006,293011214.8,293011311.3,1,1,99424,99424,854
UKPARL.2025.WRH,E07000224,55409802.35,74588970.71,0.74,0.23,22683.4,97496.4,437
UKPARL.2025.WRH,E07000229,19136748.36,74588970.71,0.26,0.77,74813,97496.4,160
UKPARL.2025.WRK,E06000020,238808086.6,506896738.2,0.47,0.75,78674.87,104364.87,292
UKPARL.2025.WRK,E06000051,268088596.8,506896738.2,0.53,0.25,25690,104364.87,322
UKPARL.2025.WSE,E08000030,12613665.86,30732965.79,0.41,0.41,48304.21,117627.68,252
UKPARL.2025.WSE,E08000031,18119292.93,30732965.79,0.59,0.59,69323.47,117627.68,366
UKPARL.2025.WSF,E07000245,761886645.6,761886832.7,1,1,117071,117071,877
UKPARL.2025.WSL,E08000006,53868946.5,71488075.58,0.75,0.88,92683.42,105699.32,442
UKPARL.2025.WSL,E08000010,17619117.15,71488075.58,0.25,0.12,13015.9,105699.32,155
UKPARL.2025.WSM,E06000024,61373871.06,64849597.43,0.95,1,95957.66,95957.66,554
UKPARL.2025.WTM,E07000067,195786086.6,428996814.9,0.46,0.57,56716.3,99119.3,282
UKPARL.2025.WTM,E07000071,99770313.79,428996814.9,0.23,0.29,28477,99119.3,146
UKPARL.2025.WTM,E07000074,128261783.2,428996814.9,0.3,0.14,13926,99119.3,183
UKPARL.2025.WTY,N09000005,909263959.8,2119396310,0.43,0.43,42801.85,100134.85,260
UKPARL.2025.WTY,N09000006,1131242608,2119396310,0.53,0.53,53121,100134.85,326
UKPARL.2025.WTY,N09000009,78092696.06,2119396310,0.04,0.04,4212,100134.85,14
UKPARL.2025.WWE,E08000031,30346770.52,30346800.14,1,1,116205.37,116205.37,779
UKPARL.2025.WWR,E07000235,577070795.6,705288896.4,0.82,0.81,78698,97030,478
UKPARL.2025.WWR,E07000238,128217906.3,705288896.4,0.18,0.19,18332,97030,110
UKPARL.2025.WYC,E06000060,141016086.8,141047066.1,1,1,102805.45,102805.45,719
UKPARL.2025.WYF,E07000239,195403622.3,195403719.5,1,1,101291,101291,822
UKPARL.2025.WYT,E08000003,28236629.91,36544677.03,0.77,0.69,74903,108377,451
UKPARL.2025.WYT,E08000009,8308032,36544677.03,0.23,0.31,33474,108377,144
UKPARL.2025.YEO,E06000066,335540040.9,335552332.7,1,1,102654.52,102654.52,734
UKPARL.2025.YNM,W06000001,715122816.2,742038306.6,0.96,1,70043,70043,574
UKPARL.2025.YOC,E06000014,25178771.34,25178771.34,1,1,116074.14,116074.14,939
UKPARL.2025.YOO,E06000014,246734896.8,246835722.1,1,1,94543.86,94543.86,711
